Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Waste & trap kit,31834
Floor trap cover,31832
Trap,33150
Trap adaptor,33175
Floor gully,26359
Adaptor trap,33206
Inlet trap,33174
Running trap,33203
Standpipe trap,33208
Trap height adjuster,33209
Water tank membrane,35641
Water tank replenishment kit,35577
Support frame,35765
Water filter support frame,35720
Septic tank sensor,34365
Domestic sewage treatment plant,34388
Septic tank,34364
Water filter jug,33493
Water softener,27054
Scale inhibitor,26818
Scale reducer,33496
Water filter kit,26821
Water filter housing,12891
Inline replacement water filter cartridge,33495
Replacement water filter cartridge,33487
Water filter cartridge,26820
UV disinfection system,26819
Inhibitor replacement cartridge,33494
Inline scale inhibitor,33486
Water softener salt,26817
Water hardness test kit,26816
Solar water heater vent,35624
Solar panel,32599
Solar water heating boiler,35712
Anode,33116
Anode & gasket set,34316
Thermostatic mixer,34313
Support,34311
Tripod,13112
Safety group valve kit,34310
Smart electric water heater,33118
Instantaneous water heater,33149
Hand wash electric water heater,26469
Water boiler,33148
Air source water heater,26467
Pressure & temperature relief valve,31336
Pressure regulating valve,34315
Safety valve,29885
Safety valve with purge,29886
Water heater valve,26466
Tundish,33147
Urn electric water heater,26458
Stored water heater,33146
Tap gland,31876
Replacement tap cartridge,33926
Tap cartridge,25726
Shower cartridge,25722
Basin waste spring mechanism,36594
Urinal waste,26370
Waste,31521
Waste & overflow,33364
Waste & plug,33363
Chain & stay,31962
"Chain, plug & stay",33145
Plug & chain,30817
Custom washer cutting kit,34720
Plumbing washer with filter,34719
Radiator valve replacement kit,13097
Inlet nut,33499
Outlet nut,33492
Pipe routing kit,34097
Piping & pipe collar,31956
Piping & pipe collar set,31957
Tap fitting frame,31875
Plumbing mechanical connector,31873
Non-return valve,31871
Manual radiator accessory,11697
Thermostatic radiator accessory,11691
Cistern hole stopper,33369
Cistern overflow stopper,35281
Sink overflow stopper,35280
Plumbing lubricant,26701
Pipe sealing cord,26699
Isolator kit,26697
Fire cement,25682
Bleed valve,26695
O ring,33559
Plumbing washer,26703
Tap aerator,26707
Compound,26705
Jointing compound,21739
Jointing paste,33372
Plumbing compound,33375
Sealer,26704
Sealing thread,35627
Pipe thread sealing tape,26700
Shower waste pump,26745
Macerator,26744
Grey water pump,26743
Wetroom tanking kit,26486
Wetroom floor former,26487
Channel drain,33144
Smart leak sensor,26453
Drain tracing dye,26696
Leak detection fluid,26698
Smoke pellets,33433
Smoke stick refill,33463
Freeze detector,26493
Water leak & freeze detector,26494
Water leak detector,26492
Water leak detector cable sensor,26491
Smart freeze detector,26489
Smart water leak & freeze detector,26490
Smart water leak detector,26488
Rainwater filter,35582
Rainwater downpipe collector,35581
Rainwater connector kit,33471
Rainwater diverter kit,33307
Rainwater harvesting kit,25874
Water butt collector kit,33320
Water butt linking kit,33354
Rainwater harvesting label,25873
Radiator cabinet with storage,26439
Radiator cabinet,26438
Radiator connection,35199
Radiator,22562
Towel radiator,30544
Towel warmer,13120
Radiators cast iron,26688
Bench column radiator,30256
Panel heater,12912
Smart radiator valve,35783
Smart radiator valve & hub,35782
Release valve,35779
Radiator valve body,35151
Smart thermostatic radiator valve head,34904
Valve tail,33587
Gate valve,32579
Valve,12751
Replacement valve head,33498
Valve head,33491
Thermostatic radiator valve head,11690
Thermostatic radiator valve,26827
Cap extension,33367
TRV extension piece,26831
Radiator valve spare,26830
Radiator valve,33366
Radiator valve & lockshield,33371
Towel warmer valve,33374
Lockshield,26828
Lockshield valve,33557
Return lockshield,31335
Central heating pump fixing kit,35807
Pump valve,26532
Pipe wrap,12768
Radiator reflector,33996
Pipe insulation,12766
Tap cover,33458
Water tank jacket,33606
Replacement tap tail,33460
Hose,33266
Tap tail,26364
Hose tail,33432
Cleaner,13173
Sludge remover,33201
Filter,18810
Filter & chemical pack,26656
Filling kit,26655
Leak sealer,26650
Leak sealer & jointing compound,33143
Anti-freeze,26651
Inhibitor,26648
Inhibitor & protector,33142
Noise reducer,33173
Noise silencer,33202
Protector,26649
Oil pump,35704
Jerry can,35189
Manual oil pump,34368
Storage tank kit,33586
Storage tank lid,33172
Cold water loft tank,25708
Cold water storage tank,29694
Expansion tank,29695
Water butt tap,22203
Water storage tank,33141
Oil tank,25711
Oil pipe,25710
Oil pipe insert,25709
Matches,33554
Firewood,12251
Kindling,12451
Logs,28809
Swedish torch,35808
Wood chip,35007
Wood pellets,33965
Coffee log,28804
Fire log,12252
Heat log,12366
Charcoal briquettes,12039
Coal,12063
Eco-pea coal,34550
Instant light charcoal,36452
Lumpwood charcoal,12475
Pea coal,34551
Solid fuel (instant light),33616
Solid fuel briquettes,28803
Gas heater,24431
Mobile gas heater,24126
Decorative stove pipe,35884
Fireplace bucket set,35857
Log & kindling bucket set,35874
Flue damper,35688
Fireplace throttle,35690
Stove door,35700
Stove connecting kit,35705
Pellet burner insert,35706
Fireplace fan controller,35709
Fire surround set,35520
Chimney flue heat exchanger,35761
Stove base,34772
Stove support,34773
Decorative fireplace stones,33508
Fireplace fan,30445
Stove fan,35131
Build-in chimney stove,26297
Insert chimney stove,26298
Boiler stove,30819
Burner stove,30822
Stove,21387
Pellet stove,26291
Paper log maker,26290
Fire,12245
Fire tray,30821
Fire suite,29341
Fire surround,13223
Fire surround with lights,13225
Fireplace surround set,26296
"Header, shelf & arch set",13250
Body unit,13161
Facia,13211
Vermulicite board,29245
Stove rope repair kit,26261
Mantel,30141
Mantel piece,26258
Briquette holder,26266
Log basket,12472
Log rack,26267
Log store,26268
Storage bucket,29240
Back panel & hearth,29239
Hearth,26274
Fire fret,26272
Fire guard,26263
Fire screen,26262
Nursery guard,26265
Spark guard,26264
Fire stones,26260
Fuel effect crystals,26259
Replacement fuel bed,29238
Fire basket,26270
Fire front,26273
Fire grate,26271
Fire side starter set,29244
Hearth fender,26287
Chestnut pan,35855
Coal helmet,29237
Fire dogs,29243
Fireplace brush,26283
Fireplace coal shovel,26284
Fireplace poker,26286
Fireplace shovel,26282
Pellet shovel,35856
Companion set,26279
Fireplace brush & shovel set,29234
Fireplace companion set,26281
Fireside starter set,26280
Ash carrier,26278
Ash pan,26277
Bucket,24485
Coal bucket,26276
Coal chute,26275
Coal hod,29249
Fire bucket,24904
Fire chute,29242
Electric fire suite,12193
LCD electric stove suite,26253
LED electric fire suite,26251
Stove suite,30818
Stove suite with lights,34479
Diffuser humidifier with speaker,36561
Smart tower fan,36454
Humidifier,36218
Multifunctional bladeless fan,35363
Monosplit air conditioner,35261
Multisplit air conditioner,35262
Smart air conditioner,35617
Ventilation end cap,34354
Air conditioning fixing kit,34246
Air conditioning installation kit,35258
Air humidifier,34079
Air conditioner,24750
Reversible air conditioner,36463
Air purifier filter,33971
Air conditioner cover,33096
Fan,24752
Pedestal fan,21763
Table fan,21768
Air cooler,21814
Tower fan,21815
Moisture absorber,35911
Moisture trap,24755
Moisture absorbing refill,35988
Moisture absorbing sachet,34403
Moisture trap refills,24754
Mobile window AC kit,24753
Ceiling fan,24751
Local air conditioner,32113
Mobile air conditioner,21784
Underfloor heating cable,24767
Underfloor heating mat,24770
Underfloor heating foil kit,24768
Underfloor heating overlay,29232
Space heater,36630
Workshop heater,34708
Gas forced air heater,24181
Gas workshop heater,24749
Electric fan heater,24393
Electric workshop heater,24748
Fan heater,12230
Stand turbo heater,30772
Smart air quality monitor,36457
Ducting tee,35687
Ducting bend,30139
Controlled mechanical ventilation vent,35691
Heat recovery unit,35692
Air quality sensor,35693
Roof ventilation outlet,35694
Air vent,24762
Controlled mechanical ventilation regulator,35695
Ducting collar with frame,35698
Ducting panel,35699
Tape clamping lock,35702
Inline ducting filter,35703
Ducting wall plate,31413
Chimney damper,35756
Ducting pipe collar,34730
Flue with cleaning access,34703
Chimney plate,34701
Chimney kit,34700
Chimney insulation sleeve,34699
Chimney condenser,34697
Chimney block,34695
Tube,5846
Chimney & flue access door,34694
Ventilation duct clamp tape,34353
Ventilation mounting bracket,34352
Ventilation seal,34351
Hose connector,22329
Vent pipe,29203
Vent pipe adaptor,29198
Felt support tray,29202
Chimney cowl,29201
Ducting length,33564
Ducting lengths,24766
Ducting pipe,30140
Flat channel ducting,31410
Solid wall duct,31414
Tubing,30145
Ducting clips,30142
Ducting connector,30143
Ducting fittings,24763
Ducting pipe to channel,30144
Ducting reducer,31409
Flat channel ducting clip,31418
Flat channel ducting connector,31421
Flat to round adaptor & wall plate,31428
Flat to round ducting adaptor,31494
Horizontal ducting bend,31429
Round to flat adaptor & wall plate,31493
Round to flat ducting adaptor,31430
Vertical ducting adaptor,31492
Vertical ducting bend,31431
Wall duct,31495
Ducting hose,24764
Rigid ducting hose,31497
Semi-rigid ducting hose,31496
Ducting kit,24765
Tumble dryer kit,31502
Adjustable vent,31420
Adjustable vent with fly screen,31500
Air brick,26669
Air vent & gravity flap,31408
Brick vent,31412
Circular soffit vent,31422
Cowl vent,31423
Fixed louvre vent,31424
Fixed louvre vent with flyscreen,31425
Flap vent,31426
Hooded air vent,31417
Louvre vent,31501
Slotted vent,31427
Ventilation grid,34409
Fan heater with towel warmer bar,35615
Floor fan,30641
Heating element with thermostatic radiator valve body,35696
Plinth heater,35361
Air circulator,21810
Storage heater,34279
Towel warmer with blower,35806
Radiator booster fan,32863
Controlled mechanical ventilator (CMV),30243
Heating element probe,36738
Heating element controller,25793
Electric towel radiator,28058
Tubular heater,13121
Tubular workshop heater,34545
Fan towel warmer,21834
PTC Heater,12916
PTC tower heater,24439
PTC workshop heater,34546
Heater,24186
Pre-filled panel radiator,32146
Halogen heater,24759
Quartz heater,12723
Air curtain,11869
Extractor fan kit,30242
Shower fan kit with lights,24776
Shower fan kit,24777
In-line fan,29231
Extractor fan window fitting kit,24773
Extractor fan,24774
Controller,24772
Wall outlet,34935
Wall outlet & holder,34936
Drain cover,24883
Trap cover,35006
Recessed storage unit,34910
Wet room PVC screen,35181
Wet room glass screen,25420
Wet room glass screen kit,25421
Backer board,25422
Waterproof board,25423
Corner drain,25436
Linear drain,25435
Wet room waste,32890
External corner seal,25431
Internal corner seal,25430
Soil pipe collar,25434
Waste pipe collar,25433
Wet room corner seal,32895
Wet room seal,32889
Wet room matting,25429
Wet room extension kit,25427
Wet room installation kit,25424
Wet room sealing kit,25425
Wet room shower panel fitting kit,25428
Wet room waste & waterproofing kit,25426
Macerator toilet set,35132
Smart toilet,33945
Shower hose kit,31874
Toilet seat with LED lights,31374
Bidet,24807
Bidet frame,32019
Corner bidet,25557
Corner toilet & cistern,25567
Corner toilet set,25568
Toilet,32920
Toilet & cistern,25565
Toilet & toilet unit,34677
Toilet set,25566
Corner toilet pan,25563
Toilet pan,25562
Toilet seat,25564
Toilet seat reducer,33083
Diaphragm,32919
Diaphragm washer,34514
Diaphram,25570
Replacement diaphragm fill valve,32894
Replacement flapper,32888
Seal,25569
Washer,10418
Cistern plug,32018
Sealing plug,25638
Basin fixing kit,32016
Bathroom tap fixing kit,33786
Bidet & toilet fixing kit,33575
Bidet fixings,29788
Cistern fittings,25561
Mirror fixings,28877
Shower fixing kit,33579
Shower plate fixing kit,36510
Toilet cover,22419
Toilet floor fixing kit,32017
Toilet seat fittings,25559
Toilet seat hinges,25560
Washbasin fixing cap,32887
Washbasin fixings,29795
Cistern conversion kit,24811
Handle adaptor conversion kit,24812
Shower Doc M Sets,36556
Shower with overflow bath filler,35981
Multi head shower,22622
Shower,32886
Shower kit,13308
Shower mixer,12538
Shower column,8234
Shower door roller,34277
"Door, panel & tray kit",33770
Enclosure & tray,32942
"Enclosure, tray & waste",32943
Support bar,32115
Horizontal drain,28935
Shower waste,25536
Vertical drain,28936
Shower enclosure,25529
Shower enclosure with bar,36588
Bath screen,17677
Shower screen,32012
Duckboard,25539
Footboard,25538
Shower tray,25533
Shower tray & riser kit,25535
Shower tray kit,25534
Substrate element,32922
Front & pivot return panel,33703
Return panel,33702
Shower panel,32009
Shower wall panel,34129
Walk-in shower panel,12829
Bath screen seal,32073
Panel end cap,32918
Panel external corner joint,32930
Panel internal corner joint,32929
Panel internal wall joint,32933
Panel profile,32932
Panel splash seal kit,32940
Panel straight joint,32941
Panel kit,32931
Wall panel kit,32917
Shower cabin,27036
Retro-fit plate,36611
Shower plate,36612
Shower remote control,35152
Shower body jet,35145
Shower tray feet,33771
Shower head kit,33890
Shower riser kit,32995
Shower curtain,12537
Bath & shower seal,25584
Bath seal,25582
Shower seal,25583
Shower arm,25578
Shower curtain rail,25579
Shower curtain rod,25581
Shower hose,22387
Stretch shower hose,32001
Bath rack,35982
Corner shower basket,34480
Hook over shower caddie,33380
Shower caddie,25577
Shower shelf,36610
Shower head,22573
Shower head holder,22620
Adjustable shower riser rail,25575
Curved shower riser rail,25576
Shower riser rail,25574
Assistive showering kit,32915
Kit for hygiene WC,36679
Shower riser rail kit,25573
Bath seat,25336
Shower seat,25341
Mains pressure booster,35174
Anti-vibration mat,21697
Shower pump mat,29715
Booster pump,33237
Shower pump,25372
Foot bath,34911
Swimming pool foot bath,34912
Bath & air spa set,33775
Bath & leg set,33779
Bath & panel set,33773
Bath & wellness system set,33777
Bath set,33556
"Bath, panel & air spa set",33776
"Bath, panel & screen set",33769
"Bath, panel & wellness system set",33778
"Bath, panel, screen & air spa set",33774
Adjustable bath feet,32114
Adjustable bath legs,32123
Bath,11921
Easy access bath,31989
Eco bath,31990
Luxury bath,31991
Shower bath,31992
Air spa,31987
Bath spa system,25599
Wellness spa system,31988
Bath & shower sealant strip,25600
Bath sealant strip,33876
Sealant strip,24098
Bath panel,22320
Bath panel kit,33768
Bath storage unit & end panel kit,33772
